0,1,2,3,4,5,6
321000,30203,30211,627073506,1,1,10
321000,30203,30211,627073506,1,1,20
321000,30203,30211,627073506,1,1,30
321000,30203,30211,627073506,1,1,40
321000,30203,30211,627073506,1,1,50
321000,30203,30211,627073506,1,1,60
321000,30203,30211,627073506,1,1,70
321000,30203,30211,627073506,1,1,80
321000,30203,30211,627073506,1,1,90
321000,30203,30211,627073506,1,1,100
321000,30203,30211,627073506,1,1,110
321000,30203,30211,627073506,1,1,120
321000,30203,30211,627073506,1,1,130
321000,30203,30211,627073506,1,1,140
321000,30203,30211,627073506,1,1,150
321000,30203,30211,627073506,1,1,160
321000,30203,30211,627073506,1,1,170
321000,30203,30211,627073506,1,1,180
321000,30203,30211,627073506,1,1,190
321000,30203,30211,627073506,1,1,200
321000,30203,30211,627073506,1,1,210
321000,30203,30211,627073506,1,1,220
321000,30203,30211,627073506,1,1,230
321000,30203,30211,627073506,1,1,240
321000,30203,30211,627073506,1,1,250
321000,30203,30211,627073506,1,1,260
321000,30203,30211,627073506,1,1,270
321000,30203,30211,627073506,1,1,280
321000,30203,30211,627073506,1,1,290
321000,30203,30211,627073506,1,1,300
321000,30203,30211,627073506,231,231,10
321000,30203,30211,627073506,231,231,20
321000,30203,30211,627073506,231,231,30
321000,30203,30211,627073506,231,231,40
321000,30203,30211,627073506,231,231,50
321000,30203,30211,627073506,231,231,60
321000,30203,30211,627073506,231,231,70
321000,30203,30211,627073506,231,231,80
321000,30203,30211,627073506,231,231,90
321000,30203,30211,627073506,231,231,100
321000,30203,30211,627073506,231,231,110
321000,30203,30211,627073506,231,231,120
321000,30203,30211,627073506,231,231,130
321000,30203,30211,627073506,231,231,140
321000,30203,30211,627073506,231,231,150
321000,30203,30211,627073506,231,231,160
321000,30203,30211,627073506,231,231,170
321000,30203,30211,627073506,231,231,180
321000,30203,30211,627073506,231,231,190
321000,30203,30211,627073506,231,231,200
321000,30203,30211,627073506,231,231,210
321000,30203,30211,627073506,231,231,220
321000,30203,30211,627073506,231,231,230
321000,30203,30211,627073506,231,231,240
321000,30203,30211,627073506,231,231,250
321000,30203,30211,627073506,231,231,260
321000,30203,30211,627073506,231,231,270
321000,30203,30211,627073506,231,231,280
321000,30203,30211,627073506,231,231,290
321000,30203,30211,627073506,231,231,300
321000,30203,30211,627073506,231,132,10
321000,30203,30211,627073506,231,132,20
321000,30203,30211,627073506,231,132,30
321000,30203,30211,627073506,231,132,40
321000,30203,30211,627073506,231,132,50
321000,30203,30211,627073506,231,132,60
321000,30203,30211,627073506,231,132,70
321000,30203,30211,627073506,231,132,80
321000,30203,30211,627073506,231,132,90
321000,30203,30211,627073506,231,132,100
321000,30203,30211,627073506,231,132,110
321000,30203,30211,627073506,231,132,120
321000,30203,30211,627073506,231,132,130
321000,30203,30211,627073506,231,132,140
321000,30203,30211,627073506,231,132,150
321000,30203,30211,627073506,231,132,160
321000,30203,30211,627073506,231,132,170
321000,30203,30211,627073506,231,132,180
321000,30203,30211,627073506,231,132,190
321000,30203,30211,627073506,231,132,200
321000,30203,30211,627073506,231,132,210
321000,30203,30211,627073506,231,132,220
321000,30203,30211,627073506,231,132,230
321000,30203,30211,627073506,231,132,240
321000,30203,30211,627073506,231,132,250
321000,30203,30211,627073506,231,132,260
321000,30203,30211,627073506,231,132,270
321000,30203,30211,627073506,231,132,280
321000,30203,30211,627073506,231,132,290
321000,30203,30211,627073506,231,132,300
321000,30203,30211,627073506,30203,30203,10
321000,30203,30211,627073506,29178,29178,10
321000,30203,30211,627073506,28152,28152,10
321000,30203,30211,627073506,27127,27127,10
321000,30203,30211,627073506,26101,26101,10
321000,30203,30211,627073506,25076,25076,10
